시군구명,시설명,시설주소,시설종류명(시설유형),정원(수용인원),현인원,X,Y
강남구,강남 행복의집,"서울특별시 강남구 논현로117길 12-4401호 (논현동, 현대로얄빌라)",(장애인) 장애인공동생활가정,4.0,4.0,202079.55978244284,546357.0149923369
강동구,강동행복의집,"서울특별시 강동구 양재대로135길5-1, 301호 (천호동)",(장애인) 장애인공동생활가정,4.0,4.0,212647.2615182515,549886.0440870669
도봉구,도봉단기보호시설,서울특별시 도봉구 마들로 7091층 (도봉동),(장애인) 장애인단기거주시설,10.0,11.0,204337.89907899214,563049.9816065643
도봉구,그린도봉주간보호센터,"서울특별시 도봉구 도봉로 575608(쌍문동,삼환프라자) ",(장애인) 장애인주간보호시설,12.0,11.0,203415.8971561549,561855.7176861579
도봉구,함께하네,서울특별시 도봉구 방학동 686-1251 (방학동),(장애인) 장애인공동생활가정,4.0,4.0,203471.62894494814,562825.7165901901
강동구,해피죤아동발달지원센터,"서울특별시 강동구 상암로195, 501호 (명일동, 에이플러스빌딩)",(장애인) 장애인재활치료시설,0.0,48.0,212741.71308313435,549693.8124145465
강남구,소망그룹홈4,서울특별시 강남구 언주로159길 21102호 (신사동),(장애인) 장애인공동생활가정,4.0,4.0,202784.87314605,547218.2951060652
강남구,소망그룹홈3,서울특별시 강남구 언주로159길 21101호 (신사동),(장애인) 장애인공동생활가정,4.0,4.0,202784.87314605,547218.2951060652
강남구,소망그룹홈2,서울특별시 강남구 언주로157길 22가동 2층 2호 (신사동),(장애인) 장애인공동생활가정,4.0,4.0,202745.88606896158,547177.3832425555
마포구,루치아 공동생활가정,"서울특별시 마포구 마포대로4라길41, 201호 (마포동, 마포더힐)",(장애인) 장애인공동생활가정,4.0,4.0,195226.04164988938,548569.5749668529
양천구,맑은샘장애인단기거주시설,"서울특별시 양천구 신월로192, 202호 (신월동)",(장애인) 장애인단기거주시설,10.0,10.0,186233.96971556154,546686.7595840219
강서구,여호와닛시의집,서울특별시 강서구 방화동로5길38-7 (방화동),(장애인) 장애인공동생활가정,4.0,3.0,183270.359797789,551728.9373458066
송파구,서울곰두리체육센터,서울특별시 송파구 동남로 271,(장애인) 장애인체육시설,3000.0,3000.0,211688.48922897005,544735.7378695069
강서구,H2빌,서울특별시 강서구 금낭화로26가길 130-0,(장애인) 중증장애인거주시설,30.0,30.0,183342.08387811424,553882.3690919705
동작구,서울시각장애인생활이동지원센터,"서울특별시 동작구 상도로 216-0상도동, 인경빌딩3,4,6층",(장애인) 장애인생활이동지원센터,3448.0,1019.0,194926.03840741346,545065.8777950954
성동구,공감보호작업장,"서울특별시 성동구 아차산로144, B101호, B103호(성수동2가, 우영테크노센터)",(장애인) 장애인보호작업장,20.0,20.0,205266.86916342753,549290.3392172072
성북구,행복플러스보호작업장,서울특별시 성북구 화랑로134 (하월곡동2-2),(장애인) 장애인보호작업장,35.0,38.0,202752.9927698433,556610.5482345693
성북구,행복플러스 단기보호시설,서울특별시 성북구 화랑로134 (하월곡동),(장애인) 장애인단기거주시설,15.0,15.0,202752.9927698433,556610.5482345693
송파구,비움,서울특별시 송파구 삼전로3길3-25 (잠실동),(장애인) 장애인공동생활가정,4.0,3.0,207440.30239742002,544696.3383735693
서대문구,장애인내일키움직업교육센터,서울특별시 서대문구 연희로33가길6-15 (연희동),(장애인) 장애인보호작업장,30.0,30.0,194206.66935034862,553120.7829965999
영등포구,오뚜기직업재활센터,"서울특별시 영등포구 영신로40길16, 2층 (영등포동6가)",(장애인) 장애인보호작업장,65.0,59.0,191427.8689615247,546851.6041156186
구로구,하늘아래주간보호시설,"서울특별시 구로구 경인로23길8 (오류동, 대서프라자 301-1호 오류동)",(장애인) 장애인주간보호시설,10.0,10.0,186212.9010130427,544156.2771443137
중구,하늘마음,서울특별시 중구 동호로11나길 35202호 (신당동),(장애인) 장애인공동생활가정,4.0,4.0,200536.41021102038,550337.2015255906
구로구,오뚜기하우스,"서울특별시 구로구 부일로871-16 871-16, 101동 202호, 302호",(장애인) 장애인공동생활가정,6.0,6.0,184382.565899537,543764.8054520146
강서구,교남발달지원센터,"서울특별시 강서구 까치산로22길 38, 3층 (화곡동)",(장애인) 장애인재활치료시설,,36.0,186965.35398690053,549855.9878650167
도봉구,동천하우스7,"서울특별시 도봉구 시루봉로17길47, 202호 (방학동)",(장애인) 장애인공동생활가정,4.0,3.0,202845.8315690294,563277.2632829718
도봉구,동천하우스8,"서울특별시 도봉구 시루봉로17길47, 502호 (방학동)",(장애인) 장애인공동생활가정,4.0,3.0,202845.8315690294,563277.2632829718
